,win_percentage_5,win_percentage,avg_margin_5,avg_margin,home_or_away,spread,beat_spread,date,opp_win_percentage_5,opp_win_percentage,opp_avg_margin_5,opp_avg_margin
5,0.5,0.5,0.33333333333333304,7.333333333333333,1,-8.5,1,2021-10-29 00:00:00,0.5,0.5,-0.16666666666666607,10.833333333333334
6,0.5714285714285714,0.5714285714285714,-0.7857142857142856,7.714285714285714,1,-11.0,0,2021-10-31 00:00:00,0.16666666666666666,0.16666666666666666,0.6666666666666679,18.666666666666668
7,0.5714285714285714,0.625,0.33333333333333304,7.0,1,-11.0,0,2021-11-02 00:00:00,0.0,0.14285714285714285,-9.214285714285715,16.285714285714285
8,0.42857142857142855,0.5555555555555556,0.5555555555555554,6.555555555555555,1,-10.5,0,2021-11-04 00:00:00,0.25,0.25,-8.125,13.875
9,0.375,0.5,1.0,7.4,0,5.0,0,2021-11-06 00:00:00,0.2857142857142857,0.5,-5.699999999999999,14.5
10,0.375,0.5454545454545454,-0.33333333333333304,7.0,1,-2.5,1,2021-11-08 00:00:00,0.0,0.4166666666666667,1.5357142857142865,12.25
11,0.375,0.5833333333333334,-1.0476190476190474,6.666666666666667,1,5.5,1,2021-11-10 00:00:00,0.3333333333333333,0.6363636363636364,-4.3939393939393945,16.272727272727273
12,0.25,0.5384615384615384,1.0,8.0,1,-2.0,0,2021-11-12 00:00:00,0.125,0.36363636363636365,2.3484848484848477,12.181818181818182
13,0.3333333333333333,0.5714285714285714,1.4444444444444446,8.0,1,-2.5,1,2021-11-14 00:00:00,0.18181818181818182,0.3076923076923077,0.98076923076923,10.23076923076923
14,0.3,0.5333333333333333,1.2666666666666657,8.666666666666666,1,2.0,0,2021-11-15 00:00:00,0.5,0.7142857142857143,3.158730158730158,11.714285714285714
15,0.2,0.5,1.5625,8.5625,0,9.0,1,2021-11-17 00:00:00,0.2727272727272727,0.4666666666666667,-1.5666666666666682,14.533333333333333
16,0.1,0.47058823529411764,2.686274509803922,9.352941176470589,0,1.0,0,2021-11-19 00:00:00,0.2727272727272727,0.5,-0.625,11.375
17,0.18181818181818182,0.5,1.1111111111111107,9.11111111111111,0,-7.0,0,2021-11-21 00:00:00,0.14285714285714285,0.25,-1.5965909090909083,12.3125
18,0.09090909090909091,0.47368421052631576,0.9473684210526319,8.947368421052632,0,4.5,0,2021-11-23 00:00:00,0.2727272727272727,0.5555555555555556,-1.0726495726495724,9.38888888888889
19,0.16666666666666666,0.5,0.23333333333333428,8.9,0,6.5,1,2021-11-24 00:00:00,0.14285714285714285,0.4,1.549999999999999,8.95
20,0.15384615384615385,0.47619047619047616,0.10416666666666607,8.666666666666666,1,-7.5,0,2021-11-26 00:00:00,0.14285714285714285,0.4,0.1999999999999993,10.0
21,0.21428571428571427,0.5,-0.8983957219251337,8.454545454545455,1,-10.5,0,2021-11-28 00:00:00,0.0,0.2,-0.75,12.05
22,0.21428571428571427,0.5217391304347826,0.06280193236715093,9.173913043478262,0,1.0,1,2021-11-30 00:00:00,0.125,0.36363636363636365,0.6310160427807485,11.454545454545455
23,0.2,0.5,0.010964912280702066,8.958333333333334,1,-2.5,0,2021-12-03 00:00:00,0.15384615384615385,0.5217391304347826,-0.14734299516908322,12.130434782608695
24,0.2,0.52,0.29999999999999893,9.2,1,-3.0,1,2021-12-07 00:00:00,0.2,0.52,0.1899999999999995,11.84
25,0.1875,0.5,0.6794871794871806,9.346153846153847,0,-4.0,0,2021-12-09 00:00:00,0.26666666666666666,0.5769230769230769,1.4395604395604398,17.153846153846153
26,0.1875,0.5185185185185185,1.3232323232323235,9.777777777777779,0,-3.5,1,2021-12-10 00:00:00,0.10526315789473684,0.32,2.1899999999999995,13.24
27,0.1875,0.5357142857142857,0.683229813664596,9.857142857142858,1,-10.0,1,2021-12-12 00:00:00,0.0,0.17857142857142858,-0.36180124223602483,13.464285714285714
28,0.23529411764705882,0.5517241379310345,0.6623563218390807,9.620689655172415,0,-3.5,0,2021-12-15 00:00:00,0.17647058823529413,0.5,0.3276397515527947,11.892857142857142
29,0.17647058823529413,0.5333333333333333,0.7000000000000011,9.9,0,-1.0,0,2021-12-17 00:00:00,0.16666666666666666,0.4827586206896552,0.8204022988505759,13.862068965517242
30,0.16666666666666666,0.5161290322580645,0.39578163771712127,9.741935483870968,0,7.0,1,2021-12-19 00:00:00,0.23076923076923078,0.6428571428571429,0.3726708074534173,12.285714285714286
31,0.1111111111111111,0.5,0.22222222222222143,10.0,1,7.0,0,2021-12-21 00:00:00,0.4444444444444444,0.8333333333333334,0.9266666666666659,13.166666666666666
